Anatomical Structures,Organ,is_watertight (T/F),number_of_tissue_blocks_registered_total_Lu_collision,number_of_datasets_with_ct_counts_for this_anatomical_structure,dataset_ids,number_of_existing_dataset_ids,existing_dataset_ids
VH_M_duodenum_horizonal,VH_M_Small_Intestine,No,8,11,"HBM895.FSVF.555,HBM975.XFRZ.636,HBM684.SLGB.599,HBM297.KXMS.689,HBM399.GZRJ.726,HBM352.GKSZ.368,HBM324.MKDC.693,HBM797.VZJD.683,HBM284.LKZT.268,HBM395.SXCZ.834,HBM569.FMVR.429",0,
VH_M_duodenum_ascending,VH_M_Small_Intestine,No,8,11,"HBM895.FSVF.555,HBM975.XFRZ.636,HBM684.SLGB.599,HBM297.KXMS.689,HBM399.GZRJ.726,HBM352.GKSZ.368,HBM324.MKDC.693,HBM797.VZJD.683,HBM284.LKZT.268,HBM395.SXCZ.834,HBM569.FMVR.429",0,
VH_M_duodenum_descending,VH_M_Small_Intestine,No,7,10,"HBM889.DMLC.292,HBM765.FBFZ.845,HBM675.PWLX.852,HBM734.XPFM.799,HBM493.KSXW.563,HBM657.XWQQ.636,HBM639.VPHX.366,HBM632.HFRS.782,HBM944.KDNK.782,HBM558.BHPZ.328",0,
VH_M_jejunum,VH_M_Small_Intestine,No,8,12,"HBM346.LSFW.324,HBM283.TXSS.667,HBM665.WCFR.932,HBM354.FMKQ.822,HBM886.HXFS.654,HBM373.FZMG.625,HBM543.QTVF.423,HBM895.RVGB.733,HBM276.JNJX.473,HBM879.DFQN.248,HBM378.CSQK.969,HBM432.KLVR.258",0,
VH_M_sphincter_of_hepatopancreatic_ampulla,VH_M_Small_Intestine,Yes,0,0,,0,
VH_M_papilla_of_santorini,VH_M_Small_Intestine,Yes,0,0,,0,
VH_F_renal_papilla_R_f,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_renal_papilla_R_e,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_renal_pelvis_R,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_right_ureter,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_renal_papilla_R_i,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_major_calyx_R_c,VH_F_Ureter_R,No,0,0,,0,
VH_F_minor_calyx_R_h,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_major_calyx_R_b,VH_F_Ureter_R,No,0,0,,0,
VH_F_renal_papilla_R_g,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_minor_calyx_R_g,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_renal_papilla_R_d,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_minor_calyx_R_e,VH_F_Ureter_R,No,0,0,,0,
VH_F_minor_calyx_R_f,VH_F_Ureter_R,No,0,0,,0,
VH_F_renal_papilla_R_h,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_major_calyx_R_a,VH_F_Ureter_R,No,0,0,,0,
VH_F_minor_calyx_R_a,VH_F_Ureter_R,No,0,0,,0,
VH_F_renal_papilla_R_c,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_renal_papilla_R_a,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_minor_calyx_R_d,VH_F_Ureter_R,No,0,0,,0,
VH_F_renal_papilla_R_b,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_minor_calyx_R_b,VH_F_Ureter_R,No,0,0,,0,
VH_F_minor_calyx_R_i,VH_F_Ureter_R,No,0,0,,0,
VH_F_minor_calyx_R_j,VH_F_Ureter_R,No,0,0,,0,
VH_F_renal_papilla_R_j,VH_F_Ureter_R,Yes,0,0,,0,
VH_F_minor_calyx_R_c,VH_F_Ureter_R,No,0,0,,0,
VH_M_ejaculatory_duct,VH_M_Prostate,Yes,0,0,,0,
VH_M_central_zone_of_prostate_L,VH_M_Prostate,No,0,0,,0,
VH_M_prostate_duct_L,VH_M_Prostate,No,0,0,,0,
VH_M_seminal_vesicle,VH_M_Prostate,Yes,0,0,,0,
VH_M_anterior_fibromuscular_stroma_L,VH_M_Prostate,Yes,0,0,,0,
VH_M_anterior_fibromuscular_stroma_R,VH_M_Prostate,Yes,0,0,,0,
VH_M_peripheral_zone_of_prostate_R,VH_M_Prostate,Yes,0,0,,0,
VH_M_base_of_prostate,VH_M_Prostate,No,0,0,,0,
VH_M_vas_deferens_R,VH_M_Prostate,Yes,0,0,,0,
VH_M_apex_of_prostate,VH_M_Prostate,No,0,0,,0,
VH_M_seminal_colliculus,VH_M_Prostate,No,0,0,,0,
VH_M_central_zone_of_prostate_R,VH_M_Prostate,No,0,0,,0,
VH_M_vas_deferens_L,VH_M_Prostate,Yes,0,0,,0,
VH_M_prostatic_utricle,VH_M_Prostate,No,0,0,,0,
VH_M_prostate_duct_R,VH_M_Prostate,No,0,0,,0,
VH_M_transition_zone_of_prostate_R,VH_M_Prostate,Yes,0,0,,0,
VH_M_transition_zone__of_prostate_L,VH_M_Prostate,Yes,0,0,,0,
VH_M_peripheral_zone_of_prostate_L,VH_M_Prostate,Yes,0,0,,0,
Yao_blood_vasculature,NIH_F_Lymph_Node,No,0,0,,0,
Yao_follicles,NIH_F_Lymph_Node,Yes,0,0,,0,
Yao_medulla_of_lymph_node,NIH_F_Lymph_Node,No,0,0,,0,
Yao_afferent_lymphatic_vessel,NIH_F_Lymph_Node,No,0,0,,0,
Yao_capsule_of_lymph_node,NIH_F_Lymph_Node,No,0,0,,0,
Yao_paracortex,NIH_F_Lymph_Node,Yes,0,0,,0,
Yao_efferent_lymph_node,NIH_F_Lymph_Node,Yes,0,0,,0,
VH_M_skin,VH_M_Skin,Yes,5,130,"HBM539.QNGH.332,HBM468.CWHG.428,HBM843.BGTS.556,HBM724.JLGM.686,HBM827.ZRPB.786,HBM492.WGQN.836,HBM564.RBQQ.755,HBM392.KWQT.829,HBM874.CZMB.329,HBM283.RTSF.868,HBM526.MMTZ.559,HBM954.HKDJ.827,HBM247.MSBM.688,HBM379.JMVS.366,HBM528.KPMB.795,HBM253.XGDC.668,HBM745.RCXR.725,HBM934.ZKWQ.776,HBM488.NBHP.355,HBM294.GRPG.899,HBM443.DWZF.847,HBM223.QWXG.529,HBM486.XWRN.328,HBM233.XNPH.994,HBM242.GJWQ.793,HBM497.ZWNF.258,HBM554.WWRN.678,HBM497.CZWG.255,HBM784.GJSP.843,HBM459.SFCC.827,HBM253.KHKX.268,HBM794.PSSD.969,HBM882.JXSJ.732,HBM628.TMNK.883,HBM443.RMTN.749,HBM825.QVSJ.594,HBM835.QMKD.596,HBM336.PLLD.679,HBM886.QNXK.726,HBM888.KHGS.378,HBM828.BDWM.296,HBM254.DRTT.622,HBM749.ZHWD.697,HBM883.QBJG.522,HBM579.CBGC.227,HBM758.LCHF.655,HBM489.JCWP.353,HBM499.FVWS.685,HBM846.DZBV.768,HBM393.NMXR.742,HBM353.TZRX.347,HBM665.LHWH.279,HBM362.LLMS.354,HBM699.TNTM.387,HBM968.RDMR.778,HBM476.DPHD.257,HBM478.XHTD.364,HBM494.RJTV.378,HBM297.FNFH.276,HBM336.NMVD.449,HBM627.QMFW.648,HBM698.MSHG.388,HBM389.XRZZ.789,HBM734.NWFR.974,HBM726.PPWF.645,HBM464.QLZN.622,HBM326.XCTL.866,HBM324.MCNG.269,HBM655.CXHC.355,HBM963.JRJG.869,HBM582.BTJT.633,HBM533.VDBG.494,HBM633.ZJJM.358,HBM425.BDSS.237,HBM845.GHXP.696,HBM396.KDPJ.956,HBM276.RWTH.364,HBM565.KMLJ.478,HBM763.NWKV.878,HBM288.GFZN.459,HBM598.PNGX.478,HBM736.PHVW.274,HBM849.ZRPL.784,HBM795.RSKM.662,HBM747.NNZN.384,HBM798.WRLX.536,HBM725.GRNV.823,HBM576.QDCS.723,HBM964.FCFT.354,HBM394.HTMG.437,HBM993.BZQR.278,HBM878.HRSG.597,HBM259.HRJZ.364,HBM569.LVJN.555,HBM453.RWLB.264,HBM968.RJGT.984,HBM787.SKBC.844,HBM766.CSNJ.333,HBM647.CWVL.825,HBM555.TCQX.755,HBM827.DGNN.292,HBM248.ZLTT.343,HBM939.JDCD.668,HBM775.QDGR.838,HBM245.TQFJ.228,HBM227.MTTG.354,HBM528.GLLN.974,HBM889.VHNQ.876,HBM295.ZXJG.485,HBM798.MGQV.723,HBM988.JNSH.292,HBM797.VXTT.362,HBM286.LNGQ.682,HBM525.CTZT.488,HBM479.DTPN.356,HBM988.KPDH.669,HBM392.RQFB.342,HBM454.KKFR.653,HBM484.HKLK.569,HBM759.FKML.658,HBM427.PHPX.554,HBM544.QMQF.422,HBM222.XVPL.896,HBM359.HCQT.465,HBM854.ZDZL.734,HBM727.BGBD.269,HBM867.PWGK.935,HBM469.RKMZ.362,HBM427.SFQC.542,HBM877.XKPP.485",0,
VH_F_ureteral_orifice_L,VH_F_Urinary_Bladder,Yes,0,0,,0,
VH_F_fundus_of_urinary_bladder_base,VH_F_Urinary_Bladder,No,0,0,,0,
VH_F_trigone_of_urinary_bladder,VH_F_Urinary_Bladder,No,0,0,,0,
VH_F_ureteral_orifice_R,VH_F_Urinary_Bladder,Yes,0,0,,0,
VH_F_urinary_bladder_neck_smooth_muscle,VH_F_Urinary_Bladder,No,0,0,,0,
VH_F_fundus_of_urinary_bladder_dome,VH_F_Urinary_Bladder,No,0,0,,0,
VH_F_pubis_spongy_bone_R,VH_F_Pelvis,No,0,0,,0,
VH_F_ischium_compact_bone_L,VH_F_Pelvis,Yes,0,0,,0,
VH_F_coccyx,VH_F_Pelvis,Yes,0,0,,0,
VH_F_ilium_compact_bone_L,VH_F_Pelvis,Yes,0,0,,0,
VH_F_ilium_compact_bone_R,VH_F_Pelvis,Yes,0,0,,0,
VH_F_pubis_compact_bone_L,VH_F_Pelvis,Yes,0,0,,0,
VH_F_pubis_compact_bone_R,VH_F_Pelvis,Yes,0,0,,0,
VH_F_pubis_spongy_bone_L,VH_F_Pelvis,Yes,0,0,,0,
VH_F_ischium_spongy_bone_R,VH_F_Pelvis,Yes,0,0,,0,
VH_F_ilium_spongy_bone_R,VH_F_Pelvis,Yes,0,0,,0,
VH_F_ischium_compact_bone_R,VH_F_Pelvis,Yes,0,0,,0,
VH_F_sacrum,VH_F_Pelvis,Yes,0,0,,0,
VH_F_ischium_spongy_bone_L,VH_F_Pelvis,Yes,0,0,,0,
VH_F_ilium_spongy_bone_L,VH_F_Pelvis,Yes,0,0,,0,
Allen_middle_cerebellar_peduncle_R,Allen_M_Brain,Yes,0,0,,0,
Allen_amygdaloid_complex_L,Allen_M_Brain,No,0,0,,0,
Allen_supraparietal_lobule_L,Allen_M_Brain,No,0,0,,0,
Allen_head_of_caudate_R,Allen_M_Brain,Yes,0,0,,0,
Allen_frontal_pole_L,Allen_M_Brain,Yes,0,0,,0,
Allen_fornix_L,Allen_M_Brain,Yes,0,0,,0,
Allen_central_canal_of_medulla_oblongata_L,Allen_M_Brain,Yes,0,0,,0,
Allen_long_insular_gyri_L,Allen_M_Brain,Yes,0,0,,0,
Allen_tail_of_hippocampus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_occipital_pole_R,Allen_M_Brain,No,0,0,,0,
Allen_middle_frontal_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_septal_nuclei_R,Allen_M_Brain,No,0,0,,0,
Allen_cingulate_gyrus_rostral_anterior_part_R,Allen_M_Brain,Yes,0,0,,0,
Allen_ventral_posterior_medial_nucleus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_tail_of_caudate_R,Allen_M_Brain,No,0,0,,0,
Allen_medial_orbital_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_gyrus_rectus_straight_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_frontomarginal_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_superior_frontal_gyrus_L,Allen_M_Brain,No,0,0,,0,
Allen_corpus_callosum_R,Allen_M_Brain,Yes,0,0,,0,
Allen_posteroventral_putamen_R,Allen_M_Brain,Yes,0,0,,0,
Allen_anterior_nuclear_complex_of_thalamus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_subcallosal_gyrus_parolfactory_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_white_matter_of_hindbrain_L,Allen_M_Brain,No,0,0,,0,
Allen_body_of_caudate_L,Allen_M_Brain,Yes,0,0,,0,
Allen_frontal_pole_R,Allen_M_Brain,Yes,0,0,,0,
Allen_white_matter_of_forebrain_L,Allen_M_Brain,No,0,0,,0,
Allen_parafascicular_nucleus_of_thalamus_R,Allen_M_Brain,No,0,0,,0,
Allen_anterior_cortical_nucleus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_basomedial_nucleus_accessory_basal_nucleus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_inferior_colliculus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_claustrum_R,Allen_M_Brain,No,0,0,,0,
Allen_limen_insula_L,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_orbital_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_body_of_lateral_ventricle_R,Allen_M_Brain,Yes,0,0,,0,
Allen_basal_forebrain_L,Allen_M_Brain,Yes,0,0,,0,
Allen_medial_geniculate_nuclei_L,Allen_M_Brain,Yes,0,0,,0,
Allen_paracentral_lobule_caudal_part_L,Allen_M_Brain,Yes,0,0,,0,
Allen_pyramidal_part_of_medulla_oblongata_R,Allen_M_Brain,Yes,0,0,,0,
Allen_frontal_agranular_insular_cortex_area_Fl_R,Allen_M_Brain,Yes,0,0,,0,
Allen_central_nuclear_group_L,Allen_M_Brain,Yes,0,0,,0,
Allen_nucleus_accumbens_L,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_orbital_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_hemisphere_of_cerebellum_R,Allen_M_Brain,No,0,0,,0,
Allen_cuneus_R,Allen_M_Brain,No,0,0,,0,
Allen_red_nucleus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_habenular_nuclei_L,Allen_M_Brain,Yes,0,0,,0,
Allen_pineal_body_L,Allen_M_Brain,Yes,0,0,,0,
Allen_ingulo_parahippocampal_isthmus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_posterior_parahippocampal_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_internal_segment_of_globus_pallidus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_midline_nuclear_complex_L,Allen_M_Brain,Yes,0,0,,0,
Allen_ventral_posterior_medial_nucleus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_head_of_hippocampus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_posterior_horn_of_lateral_ventricle_L,Allen_M_Brain,Yes,0,0,,0,
Allen_subthalamic_nucleus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_cerebral_peduncle_crus_cerebri_L,Allen_M_Brain,Yes,0,0,,0,
Allen_precentral_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_inferior_horn_of_lateral_ventricle_L,Allen_M_Brain,No,0,0,,0,
Allen_amygdalohippocampal_area_L,Allen_M_Brain,Yes,0,0,,0,
Allen_olfactory_tract_L,Allen_M_Brain,Yes,0,0,,0,
Allen_basolateral_nucleus_basal_nucleus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_white_matter_of_forebrain_R,Allen_M_Brain,No,0,0,,0,
Allen_fourth_ventricle_L,Allen_M_Brain,Yes,0,0,,0,
Allen_mammillary_region_of_HTH_L,Allen_M_Brain,Yes,0,0,,0,
Allen_pyramidal_part_of_medulla_oblongata_L,Allen_M_Brain,Yes,0,0,,0,
Allen_ventral_posterior_lateral_nucleus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_posterior_cortical_nucleus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_preoptic_region_of_HTH_R,Allen_M_Brain,Yes,0,0,,0,
Allen_centromedian_nucleus_of_thalamus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_inferior_cerebellar_peduncle_L,Allen_M_Brain,Yes,0,0,,0,
Allen_mammillothalamic_tract_L,Allen_M_Brain,Yes,0,0,,0,
Allen_frontal_agranular_insular_cortex_area_Fl_L,Allen_M_Brain,Yes,0,0,,0,
Allen_frontomarginal_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_atrium_of_lateral_ventricle_L,Allen_M_Brain,Yes,0,0,,0,
Allen_middle_temporal_gyrus_R,Allen_M_Brain,No,0,0,,0,
Allen_inferior_olive_L,Allen_M_Brain,Yes,0,0,,0,
Allen_inferior_horn_of_lateral_ventricle_R,Allen_M_Brain,No,0,0,,0,
Allen_temporal_agranular_insular_cortex_area_Tl_L,Allen_M_Brain,Yes,0,0,,0,
Allen_medial_orbital_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_cuneus_L,Allen_M_Brain,No,0,0,,0,
Allen_superior_temporal_gyrus_R,Allen_M_Brain,No,0,0,,0,
Allen_optic_tract_R,Allen_M_Brain,Yes,0,0,,0,
Allen_midline_nuclear_complex_R,Allen_M_Brain,Yes,0,0,,0,
Allen_parietal_operculum_L,Allen_M_Brain,Yes,0,0,,0,
Allen_body_of_caudate_R,Allen_M_Brain,Yes,0,0,,0,
Allen_inferior_cerebellar_peduncle_R,Allen_M_Brain,Yes,0,0,,0,
Allen_anterior_olfactory_nucleus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_supraparietal_lobule_R,Allen_M_Brain,No,0,0,,0,
Allen_lateral_nucleus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_temporal_pole_R,Allen_M_Brain,Yes,0,0,,0,
Allen_ventral_posterior_lateral_nucleus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_tail_of_caudate_L,Allen_M_Brain,No,0,0,,0,
Allen_posterior_cortical_nucleus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_supramarginal_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_medial_nucleus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_tegmentum_of_medulla_oblongata_R,Allen_M_Brain,Yes,0,0,,0,
Allen_paracentral_lobule_rostral_part_L,Allen_M_Brain,Yes,0,0,,0,
Allen_fourth_ventricle_R,Allen_M_Brain,Yes,0,0,,0,
Allen_pulvinar_of_thalamus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_cerebellar_vermis_L,Allen_M_Brain,No,0,0,,0,
Allen_bed_nucleus_of_stria_terminalis_R,Allen_M_Brain,No,0,0,,0,
Allen_body_of_lateral_ventricle_L,Allen_M_Brain,Yes,0,0,,0,
Allen_cingulate_gyrus_rostral_anterior_part_L,Allen_M_Brain,Yes,0,0,,0,
Allen_temporal_agranular_insular_cortex_area_Tl_R,Allen_M_Brain,Yes,0,0,,0,
Allen_medial_geniculate_nuclei_R,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_posterior_nucleus_of_thalamus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_parietal_operculum_R,Allen_M_Brain,Yes,0,0,,0,
Allen_limen_insula_R,Allen_M_Brain,Yes,0,0,,0,
Allen_dorsal_lateral_geniculate_nucleus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_inferior_olive_R,Allen_M_Brain,Yes,0,0,,0,
Allen_midbrain_tegmentum_R,Allen_M_Brain,No,0,0,,0,
Allen_anterior_parahippocampal_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_posterior_horn_of_lateral_ventricle_R,Allen_M_Brain,Yes,0,0,,0,
Allen_occipitotemporal_fusiform_gyrus_temporal_part_L,Allen_M_Brain,Yes,0,0,,0,
Allen_centromedian_nucleus_of_thalamus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_tuberal_region_of_HTH_L,Allen_M_Brain,Yes,0,0,,0,
Allen_amygdaloid_complex_R,Allen_M_Brain,No,0,0,,0,
Allen_posterior_intermediate_orbital_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_anterior_parahippocampal_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_optic_tract_L,Allen_M_Brain,Yes,0,0,,0,
Allen_optic_radiation_L,Allen_M_Brain,Yes,0,0,,0,
Allen_pretectal_region_R,Allen_M_Brain,Yes,0,0,,0,
Allen_septal_nuclei_L,Allen_M_Brain,No,0,0,,0,
Allen_mediodorsal_nucleus_of_thalamus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_pretectal_region_L,Allen_M_Brain,Yes,0,0,,0,
Allen_planum_polare_R,Allen_M_Brain,Yes,0,0,,0,
Allen_anterior_intermediate_orbital_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_anterior_commissure_L,Allen_M_Brain,Yes,0,0,,0,
Allen_inferior_occipital_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_postcentral_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_anterior_amygdaloid_area_L,Allen_M_Brain,Yes,0,0,,0,
Allen_cerebral_peduncle_crus_cerebri_R,Allen_M_Brain,Yes,0,0,,0,
Allen_angular_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_zona_incerta_L,Allen_M_Brain,Yes,0,0,,0,
Allen_posteroventral_putamen_L,Allen_M_Brain,Yes,0,0,,0,
Allen_hypothalamus_L,Allen_M_Brain,No,0,0,,0,
Allen_body_of_hippocampus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_bed_nucleus_of_stria_terminalis_L,Allen_M_Brain,No,0,0,,0,
Allen_temporal_pole_L,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_nucleus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_precuneus_R,Allen_M_Brain,No,0,0,,0,
Allen_perirhinal_gyrus_rostral_part_of_FuGt_R,Allen_M_Brain,Yes,0,0,,0,
Allen_midbrain_tegmentum_L,Allen_M_Brain,No,0,0,,0,
Allen_cerebral_aqueduct_L,Allen_M_Brain,Yes,0,0,,0,
Allen_inferior_frontal_gyrus_triangular_part_L,Allen_M_Brain,Yes,0,0,,0,
Allen_putamen_L,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_posterior_nucleus_of_thalamus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_medial_nucleus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_pontine_tegmentum_R,Allen_M_Brain,No,0,0,,0,
Allen_head_of_hippocampus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_precentral_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_hypothalamus_R,Allen_M_Brain,No,0,0,,0,
Allen_central_canal_of_medulla_oblongata_R,Allen_M_Brain,Yes,0,0,,0,
Allen_inferior_colliculus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_ingulo_parahippocampal_isthmus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_basomedial_nucleus_accessory_basal_nucleus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_thalamus_L,Allen_M_Brain,No,0,0,,0,
Allen_supramarginal_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_ventral_lateral_nucleus_of_thalamus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_short_insular_gyri_L,Allen_M_Brain,Yes,0,0,,0,
Allen_putamen_R,Allen_M_Brain,Yes,0,0,,0,
Allen_mammillothalamic_tract_R,Allen_M_Brain,Yes,0,0,,0,
Allen_tuberal_region_of_HTH_R,Allen_M_Brain,Yes,0,0,,0,
Allen_ventral_lateral_nucleus_of_thalamus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_piriform_region_L,Allen_M_Brain,No,0,0,,0,
Allen_inferior_temporal_gyrus_L,Allen_M_Brain,No,0,0,,0,
Allen_posterior_intermediate_orbital_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_superior_frontal_gyrus_R,Allen_M_Brain,No,0,0,,0,
Allen_supraoptic_region_of_HTH_L,Allen_M_Brain,No,0,0,,0,
Allen_anterior_horn_of_lateral_ventricle_R,Allen_M_Brain,Yes,0,0,,0,
Allen_head_of_caudate_L,Allen_M_Brain,Yes,0,0,,0,
Allen_olfactory_bulb_R,Allen_M_Brain,Yes,0,0,,0,
Allen_superior_cerebellar_peduncle_brachium_conjunctivum_L,Allen_M_Brain,Yes,0,0,,0,
Allen_subthalamic_nucleus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_white_matter_of_hindbrain_R,Allen_M_Brain,No,0,0,,0,
Allen_paracingulate_gyrus_L,Allen_M_Brain,No,0,0,,0,
Allen_piriform_region_R,Allen_M_Brain,No,0,0,,0,
Allen_gyrus_ambiens_L,Allen_M_Brain,Yes,0,0,,0,
Allen_cerebral_aqueduct_R,Allen_M_Brain,Yes,0,0,,0,
Allen_amygdalohippocampal_area_R,Allen_M_Brain,Yes,0,0,,0,
Allen_gyrus_ambiens_R,Allen_M_Brain,Yes,0,0,,0,
Allen_paracentral_lobule_rostral_part_R,Allen_M_Brain,Yes,0,0,,0,
Allen_tegmentum_of_medulla_oblongata_L,Allen_M_Brain,Yes,0,0,,0,
Allen_paracentral_lobule_caudal_part_R,Allen_M_Brain,Yes,0,0,,0,
Allen_perirhinal_gyrus_rostral_part_of_FuGt_L,Allen_M_Brain,Yes,0,0,,0,
Allen_superior_occipital_gyrus_L,Allen_M_Brain,No,0,0,,0,
Allen_lingual_gyrus_medial_occipitotemporal_gyrus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_occipitotemporal_fusiform_gyrus_temporal_part_R,Allen_M_Brain,Yes,0,0,,0,
Allen_dorsal_lateral_geniculate_nucleus_L,Allen_M_Brain,Yes,0,0,,0,
Allen_anterior_commissure_R,Allen_M_Brain,Yes,0,0,,0,
Allen_optic_radiation_R,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_dorsal_nucleus_of_thalamus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_basilar_part_of_pons_L,Allen_M_Brain,Yes,0,0,,0,
Allen_corpus_callosum_L,Allen_M_Brain,Yes,0,0,,0,
Allen_superior_colliculus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_frontal_operculum_R,Allen_M_Brain,Yes,0,0,,0,
Allen_nucleus_accumbens_R,Allen_M_Brain,Yes,0,0,,0,
Allen_lateral_occipitotemporal_fusiform_gyrus_occipital_part_L,Allen_M_Brain,Yes,0,0,,0,
Allen_substantia_nigra_R,Allen_M_Brain,Yes,0,0,,0,
Allen_gyrus_rectus_straight_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_third_ventricle_R,Allen_M_Brain,Yes,0,0,,0,
Allen_pineal_body_R,Allen_M_Brain,Yes,0,0,,0,
Allen_substantia_nigra_L,Allen_M_Brain,Yes,0,0,,0,
Allen_zona_incerta_R,Allen_M_Brain,Yes,0,0,,0,
Allen_central_nuclear_group_R,Allen_M_Brain,Yes,0,0,,0,
Allen_superior_occipital_gyrus_R,Allen_M_Brain,No,0,0,,0,
Allen_middle_temporal_gyrus_L,Allen_M_Brain,No,0,0,,0,
Allen_lingual_gyrus_medial_occipitotemporal_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_rostral_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_cingulate_gyrus_caudal_posterior_part_L,Allen_M_Brain,No,0,0,,0,
Allen_pontine_tegmentum_L,Allen_M_Brain,No,0,0,,0,
Allen_basal_forebrain_R,Allen_M_Brain,Yes,0,0,,0,
Allen_angular_gyrus_R,Allen_M_Brain,Yes,0,0,,0,
Allen_ventral_anterior_nucleus_of_thalamus_L,Allen_M_Brain,No,0,0,,0,
